"Categoria","Metodo","Alternativa","Puntaje","Posicion","Tipo","Ganador","Num_Respuestas","Total_Alternativas"
"bienestar_estudiantil","Borda","Espacios verdes y áreas de descanso","142.0","6.0","Puntaje Borda","","",""
"bienestar_estudiantil","Borda","Iniciativas de sostenibilidad dentro del campus","119.0","7.0","Puntaje Borda","","",""
"bienestar_estudiantil","Kemeny-Young","Programas deportivos (gimnasio, entrenadores, ligas internas)","82.0","1.0","Puntaje Kemeny","","",""
"bienestar_estudiantil","Kemeny-Young","Talleres de salud mental y bienestar emocional","74.0","2.0","Puntaje Kemeny","","",""
"bienestar_estudiantil","Kemeny-Young","Clubes estudiantiles y financiamiento de proyectos","34.0","3.0","Puntaje Kemeny","","",""
"bienestar_estudiantil","Kemeny-Young","Actividades culturales (música, teatro, diseño, exposiciones)","16.0","4.0","Puntaje Kemeny","","",""
"bienestar_estudiantil","Kemeny-Young","Espacios verdes y áreas de descanso","12.0","5.0","Puntaje Kemeny","","",""
"bienestar_estudiantil","Kemeny-Young","Actividades de integración y networking estudiantil","18.0","6.0","Puntaje Kemeny","","",""
"bienestar_estudiantil","Kemeny-Young","Iniciativas de sostenibilidad dentro del campus","0.0","7.0","Puntaje Kemeny","","",""
"bienestar_estudiantil","Schulze","Programas deportivos (gimnasio, entrenadores, ligas internas)","203.0","1.0","Fuerza Neta Schulze","","",""
"bienestar_estudiantil","Schulze","Talleres de salud mental y bienestar emocional","140.0","2.0","Fuerza Neta Schulze","","",""
"bienestar_estudiantil","Schulze","Clubes estudiantiles y financiamiento de proyectos","63.0","3.0","Fuerza Neta Schulze","","",""
"bienestar_estudiantil","Schulze","Actividades culturales (música, teatro, diseño, exposiciones)","-9.0","4.0","Fuerza Neta Schulze","","",""
"bienestar_estudiantil","Schulze","Actividades de integración y networking estudiantil","-88.0","5.0","Fuerza Neta Schulze","","",""
"bienestar_estudiantil","Schulze","Espacios verdes y áreas de descanso","-101.0","6.0","Fuerza Neta Schulze","","",""
"bienestar_estudiantil","Schulze","Iniciativas de sostenibilidad dentro del campus","-208.0","7.0","Fuerza Neta Schulze","","",""
